Mtr,Token,Units,Amt,TknAmt,OtherCharges,Datetime
37194275246,1865-3776-4842-2132-9404,0.95,20.0,11.59,8.41,2023-05-06 16:49:00
37194275246,6721-7771-1330-9402-1908,2.36,50.0,28.91,21.09,2023-05-06 21:57:00
37194275246,7365-0649-1736-7314-8707,4.63,100.0,56.63,43.37,2023-05-11 15:25:00
37194275246,5960-2130-7568-6047-7322,13.89,300.0,169.81,130.19,2023-05-18 08:02:00
37194275246,0376-4690-0924-3300-7595,0.23,5.0,2.86,2.14,2023-06-03 08:24:00
37194275246,0985-1549-5716-3625-5145,1.87,43.0,22.94,20.06,2023-06-14 22:00:00
37194275246,3144-2399-4411-2313-9395,2.18,50.0,26.66,23.34,2023-06-15 00:37:00
37194275246,1643-8562-7546-1820-4977,1.31,30.0,16.02,13.98,2023-06-24 20:01:00
37194275246,7247-4702-6173-6742-3867,2.92,67.0,35.72,31.28,2023-06-25 09:27:00
37194275246,2438-1130-9571-4247-8971,2.14,49.0,26.13,22.87,2023-06-30 23:10:00
37194275246,4178-0845-0752-4942-0493,4.34,100.0,53.2,46.8,2023-07-05 00:06:00
37194275246,4817-0359-0247-1434-9788,3.02,65.0,36.97,28.03,2023-07-13 19:09:00
37194275246,4295-1580-7174-2547-6310,2.55,55.0,31.28,23.72,2023-07-19 22:38:00
37194275246,4628-8000-0018-8230-8807,2.18,47.0,26.73,20.27,2023-07-23 19:24:00
37194275246,3331-0632-2187-4653-6614,2.32,50.0,28.44,21.56,2023-07-26 22:20:00
37194275246,2101-4844-4137-2545-4877,2.55,55.0,31.28,23.72,2023-07-29 21:30:00
37194275246,6784-1006-0457-6052-2496,2.51,54.0,30.71,23.29,2023-08-03 12:30:00
37194275246,5748-5066-8939-5129-9725,3.63,80.0,44.5,35.5,2023-08-07 07:28:00
37194275246,7194-5862-6842-4352-3887,2.95,65.0,36.18,28.82,2023-08-14 10:41:00
37194275246,5833-8909-2007-5804-4725,2.32,51.0,28.38,22.62,2023-08-17 00:59:00
37194275246,2604-5939-0051-4229-1300,4.18,92.0,51.18,40.82,2023-08-19 19:36:00
37194275246,5561-9954-0233-6856-7580,3.22,71.0,39.5,31.5,2023-08-28 00:16:00
37194275246,3262-9185-0442-3715-5908,3.86,85.0,47.3,37.7,2023-09-01 23:47:00
37194275246,0112-3671-5973-4927-2662,3.05,65.0,37.31,27.69,2023-09-09 15:16:00
37194275246,4099-0747-0023-0184-1106,4.69,100.0,57.4,42.6,2023-09-14 19:04:00
37194275246,3272-3106-5531-7389-3898,2.06,44.0,25.27,18.73,2023-09-21 10:21:00
